"components"	"count"	"rule"	"step"
"(VII, \"major\")"	1.0	"CFRule(dominant_prep)"	-1
"(VII, \"major\")"	1.0	"CFRule(modulation)"	-1
"(VII, \"major\")"	0.5	"CFRule(rule427)"	-1
"(VII, \"major\")"	0.5	"CFRule(rule428)"	-1
"(VII, \"minor\")"	1.0	"CFRule(diatonic_prep)"	-1
"(VII, \"minor\")"	1.0	"CFRule(prolongation)"	-1
"(VII, \"minor\")"	1.0	"CFRule(dominant_prep)"	-1
"(VII, \"minor\")"	1.0	"CFRule(modulation)"	-1
"(VII, \"minor\")"	0.25	"CFRule(rule447)"	-1
"(VII, \"minor\")"	0.25	"CFRule(rule448)"	-1
"(VII, \"minor\")"	0.25	"CFRule(rule450)"	-1
"(VII, \"minor\")"	0.25	"CFRule(rule449)"	-1
"(I, \"major\")"	26.0	"CFRule(diatonic_subs)"	0
"(I, \"major\")"	18.0	"CFRule(plagal_prep)"	0
"(I, \"major\")"	18.0	"CFRule(mode_change)"	0
"(I, \"major\")"	10.333333333333332	"CFRule(rule412)"	0
"(I, \"major\")"	8.0	"CFRule(diatonic_prep)"	0
"(I, \"major\")"	6.333333333333333	"CFRule(rule411)"	0
"(I, \"major\")"	4.0	"CFRule(prolongation)"	0
"(I, \"major\")"	3.333333333333333	"CFRule(rule413)"	0
"(I, \"minor\")"	35.0	"CFRule(diatonic_subs)"	0
"(I, \"minor\")"	19.333333333333332	"CFRule(rule430)"	0
"(I, \"minor\")"	14.0	"CFRule(plagal_prep)"	0
"(I, \"minor\")"	14.0	"CFRule(mode_change)"	0
"(I, \"minor\")"	13.0	"CFRule(diatonic_prep)"	0
"(I, \"minor\")"	7.0	"CFRule(prolongation)"	0
"(I, \"minor\")"	5.333333333333333	"CFRule(rule429)"	0
"(I, \"minor\")"	1.3333333333333333	"CFRule(rule431)"	0
"(II, \"major\")"	24.5	"CFRule(rule415)"	0
"(II, \"major\")"	7.0	"CFRule(modulation)"	0
"(II, \"major\")"	4.0	"CFRule(diatonic_subs)"	0
"(II, \"major\")"	4.0	"CFRule(dominant_prep)"	0
"(II, \"major\")"	2.0	"CFRule(diatonic_prep)"	0
"(II, \"major\")"	1.0	"CFRule(prolongation)"	0
"(II, \"major\")"	0.5	"CFRule(rule414)"	0
"(II, \"minor\")"	10.0	"CFRule(rule432)"	0
"(II, \"minor\")"	4.0	"CFRule(diatonic_subs)"	0
"(II, \"minor\")"	4.0	"CFRule(dominant_prep)"	0
"(II, \"minor\")"	4.0	"CFRule(modulation)"	0
"(II, \"minor\")"	1.0	"CFRule(diatonic_prep)"	0
"(II, \"minor\")"	1.0	"CFRule(prolongation)"	0
"(III, \"major\")"	9.5	"CFRule(rule417)"	0
"(III, \"major\")"	6.0	"CFRule(dominant_prep)"	0
"(III, \"major\")"	4.0	"CFRule(prolongation)"	0
"(III, \"major\")"	1.0	"CFRule(diatonic_prep)"	0
"(III, \"major\")"	1.0	"CFRule(modulation)"	0
"(III, \"major\")"	0.5	"CFRule(rule416)"	0
