"scale_deg"	"mode"	"count"	"rule"	"step"
"VI"	"minor"	0.3333333333333333	"CFRule(rule76)"	-1
"VI"	"minor"	0.3333333333333333	"CFRule(rule75)"	-1
"VII"	"major"	1.0	"CFRule(modulation)"	-1
"VII"	"major"	1.0	"CFRule(dominant_prep)"	-1
"VII"	"major"	1.0	"CFRule(diatonic_prep)"	-1
"VII"	"major"	1.0	"CFRule(prolongation)"	-1
"VII"	"major"	0.5	"CFRule(rule58)"	-1
"VII"	"major"	0.5	"CFRule(rule59)"	-1
"VII"	"minor"	1.0	"CFRule(modulation)"	-1
"VII"	"minor"	1.0	"CFRule(dominant_prep)"	-1
"VII"	"minor"	1.0	"CFRule(diatonic_prep)"	-1
"VII"	"minor"	1.0	"CFRule(prolongation)"	-1
"VII"	"minor"	0.25	"CFRule(rule78)"	-1
"VII"	"minor"	0.25	"CFRule(rule81)"	-1
"VII"	"minor"	0.25	"CFRule(rule79)"	-1
"VII"	"minor"	0.25	"CFRule(rule80)"	-1
"I"	"major"	327.3333333333333	"CFRule(rule43)"	0
"I"	"major"	206.0	"CFRule(mode_change)"	0
"I"	"major"	192.0	"CFRule(diatonic_subs)"	0
"I"	"major"	182.0	"CFRule(diatonic_prep)"	0
"I"	"major"	161.0	"CFRule(plagal_prep)"	0
"I"	"major"	117.0	"CFRule(prolongation)"	0
"I"	"major"	82.33333333333333	"CFRule(rule44)"	0
"I"	"major"	63.33333333333333	"CFRule(rule42)"	0
"I"	"minor"	342.0	"CFRule(diatonic_subs)"	0
"I"	"minor"	278.3333333333333	"CFRule(rule61)"	0
"I"	"minor"	193.0	"CFRule(diatonic_prep)"	0
"I"	"minor"	184.0	"CFRule(mode_change)"	0
"I"	"minor"	148.0	"CFRule(plagal_prep)"	0
"I"	"minor"	109.0	"CFRule(prolongation)"	0
"I"	"minor"	42.33333333333333	"CFRule(rule60)"	0
"I"	"minor"	35.33333333333333	"CFRule(rule62)"	0
"II"	"major"	147.5	"CFRule(rule46)"	0
"II"	"major"	80.0	"CFRule(diatonic_subs)"	0
"II"	"major"	59.0	"CFRule(modulation)"	0
"II"	"major"	57.0	"CFRule(dominant_prep)"	0
"II"	"major"	39.0	"CFRule(prolongation)"	0
"II"	"major"	34.0	"CFRule(diatonic_prep)"	0
"II"	"major"	10.5	"CFRule(rule45)"	0
"II"	"minor"	144.0	"CFRule(rule63)"	0
"II"	"minor"	48.0	"CFRule(diatonic_subs)"	0
"II"	"minor"	31.0	"CFRule(modulation)"	0
"II"	"minor"	27.0	"CFRule(diatonic_prep)"	0
"II"	"minor"	21.0	"CFRule(dominant_prep)"	0
"II"	"minor"	20.0	"CFRule(prolongation)"	0
"III"	"major"	42.5	"CFRule(rule48)"	0
"III"	"major"	18.0	"CFRule(prolongation)"	0
"III"	"major"	11.0	"CFRule(modulation)"	0
"III"	"major"	5.0	"CFRule(dominant_prep)"	0
"III"	"major"	4.0	"CFRule(diatonic_prep)"	0
"III"	"major"	2.5	"CFRule(rule47)"	0
"III"	"minor"	375.0	"CFRule(prolongation)"	0
"III"	"minor"	348.3333333333333	"CFRule(rule65)"	0
"III"	"minor"	268.0	"CFRule(diatonic_prep)"	0
"III"	"minor"	196.0	"CFRule(modulation)"	0
"III"	"minor"	148.0	"CFRule(dominant_prep)"	0
"III"	"minor"	116.33333333333333	"CFRule(rule66)"	0
"III"	"minor"	58.33333333333333	"CFRule(rule64)"	0
"IV"	"major"	177.33333333333331	"CFRule(rule50)"	0
"IV"	"major"	138.0	"CFRule(prolongation)"	0
"IV"	"major"	108.0	"CFRule(modulation)"	0
"IV"	"major"	85.0	"CFRule(dominant_prep)"	0
"IV"	"major"	59.33333333333333	"CFRule(rule51)"	0
"IV"	"major"	50.33333333333333	"CFRule(rule49)"	0
"IV"	"minor"	468.5	"CFRule(rule68)"	0
"IV"	"minor"	184.0	"CFRule(dominant_prep)"	0
"IV"	"minor"	173.0	"CFRule(prolongation)"	0
"IV"	"minor"	130.0	"CFRule(modulation)"	0
"IV"	"minor"	62.5	"CFRule(rule67)"	0
"V"	"major"	715.2	"CFRule(rule53)"	0
"V"	"major"	270.0	"CFRule(octa_dom_subs3)"	0
"V"	"major"	257.0	"CFRule(diatonic_prep)"	0
"V"	"major"	243.0	"CFRule(octa_dom_subs9)"	0
"V"	"major"	239.0	"CFRule(dominant_prep)"	0
"V"	"major"	238.0	"CFRule(octa_dom_subs6)"	0
"V"	"major"	226.0	"CFRule(prolongation)"	0
"V"	"major"	172.0	"CFRule(diatonic_subs)"	0
"V"	"major"	93.0	"CFRule(modulation)"	0
"V"	"major"	88.2	"CFRule(rule82)"	0
"V"	"major"	42.2	"CFRule(rule55)"	0
"V"	"major"	11.2	"CFRule(rule52)"	0
"V"	"major"	0.2	"CFRule(rule54)"	0
"V"	"minor"	519.1666666666667	"CFRule(rule72)"	0
"V"	"minor"	205.0	"CFRule(diatonic_subs)"	0
"V"	"minor"	202.0	"CFRule(diatonic_prep)"	0
"V"	"minor"	176.0	"CFRule(dominant_prep)"	0
"V"	"minor"	136.0	"CFRule(octa_dom_subs6)"	0
"V"	"minor"	135.0	"CFRule(octa_dom_subs3)"	0
"V"	"minor"	133.0	"CFRule(prolongation)"	0
"V"	"minor"	132.0	"CFRule(octa_dom_subs9)"	0
"V"	"minor"	76.0	"CFRule(modulation)"	0
"V"	"minor"	53.16666666666667	"CFRule(rule70)"	0
"V"	"minor"	25.166666666666668	"CFRule(rule74)"	0
"V"	"minor"	8.166666666666668	"CFRule(rule71)"	0
"V"	"minor"	7.166666666666667	"CFRule(rule69)"	0
"V"	"minor"	0.16666666666666666	"CFRule(rule73)"	0
"VI"	"major"	203.5	"CFRule(rule57)"	0
"VI"	"major"	136.0	"CFRule(prolongation)"	0
"VI"	"major"	110.0	"CFRule(dominant_prep)"	0
"VI"	"major"	102.0	"CFRule(modulation)"	0
"VI"	"major"	55.5	"CFRule(rule56)"	0
"VI"	"major"	38.0	"CFRule(diatonic_prep)"	0
"VI"	"minor"	20.333333333333332	"CFRule(rule76)"	0
"VI"	"minor"	12.0	"CFRule(modulation)"	0
"VI"	"minor"	7.0	"CFRule(dominant_prep)"	0
"VI"	"minor"	7.0	"CFRule(prolongation)"	0
"VI"	"minor"	3.0	"CFRule(diatonic_prep)"	0
"VI"	"minor"	1.3333333333333333	"CFRule(rule77)"	0
"VI"	"minor"	0.3333333333333333	"CFRule(rule75)"	0
"VII"	"major"	95.5	"CFRule(rule58)"	0
"VII"	"major"	62.0	"CFRule(modulation)"	0
"VII"	"major"	47.5	"CFRule(rule59)"	0
"VII"	"major"	30.0	"CFRule(prolongation)"	0
"VII"	"major"	21.0	"CFRule(dominant_prep)"	0
"VII"	"major"	18.0	"CFRule(diatonic_prep)"	0
"VII"	"minor"	539.25	"CFRule(rule79)"	0
"VII"	"minor"	294.0	"CFRule(diatonic_prep)"	0
"VII"	"minor"	253.0	"CFRule(prolongation)"	0
"VII"	"minor"	239.0	"CFRule(dominant_prep)"	0
"VII"	"minor"	97.0	"CFRule(modulation)"	0
"VII"	"minor"	74.25	"CFRule(rule81)"	0
"VII"	"minor"	11.25	"CFRule(rule78)"	0
"VII"	"minor"	3.25	"CFRule(rule80)"	0
"I"	"major"	74.24136939755266	"CFRule(plagal_prep)"	1
"I"	"major"	63.33333333333333	"CFRule(rule42)"	1
"I"	"major"	51.68537904745625	"CFRule(mode_change)"	1
"I"	"major"	49.788636841485996	"CFRule(diatonic_subs)"	1
"I"	"major"	41.360327005122954	"CFRule(rule44)"	1
"I"	"major"	40.18375442647483	"CFRule(rule43)"	1
"I"	"major"	27.472496097500652	"CFRule(diatonic_prep)"	1
"I"	"major"	20.263414972335166	"CFRule(prolongation)"	1
"I"	"minor"	79.95553364356348	"CFRule(diatonic_subs)"	1
"I"	"minor"	61.94904098631795	"CFRule(rule62)"	1
"I"	"minor"	59.26587707188716	"CFRule(diatonic_prep)"	1
"I"	"minor"	57.753121700646844	"CFRule(rule61)"	1
"I"	"minor"	39.840424244136464	"CFRule(plagal_prep)"	1
"I"	"minor"	29.183360878808294	"CFRule(prolongation)"	1
"I"	"minor"	25.568999806421267	"CFRule(rule60)"	1
"I"	"minor"	20.81356346691202	"CFRule(mode_change)"	1
"II"	"major"	37.631611628407576	"CFRule(rule46)"	1
"II"	"major"	34.01296820841331	"CFRule(diatonic_subs)"	1
"II"	"major"	19.019174990895223	"CFRule(dominant_prep)"	1
"II"	"major"	15.693528496176363	"CFRule(prolongation)"	1
"II"	"major"	14.916587231851185	"CFRule(modulation)"	1
"II"	"major"	6.565964374199742	"CFRule(diatonic_prep)"	1
"II"	"major"	3.453322459466214	"CFRule(rule45)"	1
"II"	"minor"	85.0280844521541	"CFRule(rule63)"	1
"II"	"minor"	8.733533748252587	"CFRule(modulation)"	1
"II"	"minor"	6.608643638895128	"CFRule(diatonic_subs)"	1
"II"	"minor"	2.2932604386287467	"CFRule(prolongation)"	1
"II"	"minor"	1.6402171095680071	"CFRule(diatonic_prep)"	1
"II"	"minor"	1.3534865778594303	"CFRule(dominant_prep)"	1
"III"	"major"	18.0	"CFRule(prolongation)"	1
"III"	"major"	17.843756987260512	"CFRule(rule48)"	1
"III"	"major"	4.0	"CFRule(diatonic_prep)"	1
"III"	"major"	2.9147016326739514	"CFRule(dominant_prep)"	1
"III"	"major"	1.6859278607055392	"CFRule(modulation)"	1
"III"	"major"	1.2741591022241148	"CFRule(rule47)"	1
"III"	"minor"	75.52308997506051	"CFRule(rule65)"	1
"III"	"minor"	71.60911988624594	"CFRule(rule66)"	1
"III"	"minor"	58.33333333333333	"CFRule(rule64)"	1
"III"	"minor"	57.40755592140116	"CFRule(diatonic_prep)"	1
